ticker,event_ticker,entry_time,settled_time,market_result,our_side,contracts,avg_entry_price_cents,total_cost_usd,revenue_usd,fee_usd,net_pnl_usd,won
KXBTC15M-26FEB281700-00,KXBTC15M-26FEB281700,2026-02-28T21:46:39.839125Z,2026-02-28T22:01:16.735498Z,no,no,7,48.0,3.36,7.0,0.13,3.51,yes
KXBTC15M-26FEB281800-00,KXBTC15M-26FEB281800,2026-02-28T22:46:18.857872Z,2026-02-28T23:01:16.792458Z,no,yes,7,63.0,4.41,0.0,0.02,-4.43,no
KXBTC15M-26FEB281815-15,KXBTC15M-26FEB281815,2026-02-28T23:08:44.946494Z,2026-02-28T23:16:16.836993Z,no,no,15,33.0,4.95,15.0,0.24,9.81,yes
KXBTC15M-26FEB281845-45,KXBTC15M-26FEB281845,2026-02-28T23:32:27.031963Z,2026-02-28T23:46:16.735756Z,no,no,14,33.0,4.62,14.0,0.22,9.16,yes
KXBTC15M-26FEB281900-00,KXBTC15M-26FEB281900,2026-02-28T23:46:07.231937Z,2026-03-01T00:01:16.740769Z,yes,no,19,26.0,4.94,0.0,0.26,-5.2,no
KXBTC15M-26FEB281915-15,KXBTC15M-26FEB281915,2026-03-01T00:05:12.25785Z,2026-03-01T00:16:16.85063Z,no,no,14,34.0,4.76,14.0,0.22,9.02,yes
KXBTC15M-26FEB281930-30,KXBTC15M-26FEB281930,2026-03-01T00:19:15.691862Z,2026-03-01T00:31:16.731863Z,no,no,8,57.0,4.56,8.0,0.14,3.3,yes
KXBTC15M-26FEB281945-45,KXBTC15M-26FEB281945,2026-03-01T00:34:20.537629Z,2026-03-01T00:46:16.784934Z,no,yes,13,37.0,4.81,0.0,0.12,-4.93,no
KXBTC15M-26FEB282000-00,KXBTC15M-26FEB282000,2026-03-01T00:47:25.405057Z,2026-03-01T01:01:16.785974Z,yes,no,10,50.0,5.0,0.0,0.18,-5.18,no
KXBTC15M-26FEB282015-15,KXBTC15M-26FEB282015,2026-03-01T01:01:32.268819Z,2026-03-01T01:16:16.73708Z,no,yes,23,21.0,4.83,0.0,0.27,-5.1,no
KXBTC15M-26FEB282045-45,KXBTC15M-26FEB282045,2026-03-01T01:38:12.71838Z,2026-03-01T01:46:16.730503Z,yes,no,166,3.0,4.98,0.0,0.34,-5.32,no
KXETH15M-26FEB282100-00,KXETH15M-26FEB282100,2026-03-01T01:54:35.149689Z,2026-03-01T02:01:16.724702Z,yes,no,249,2.0,4.98,0.0,0.0,-4.98,no
KXBTC15M-26FEB282100-00,KXBTC15M-26FEB282100,2026-03-01T01:47:15.333245Z,2026-03-01T02:01:16.735737Z,yes,no,17,28.0,4.76,0.0,0.24,-5.0,no
KXETH15M-26FEB282115-15,KXETH15M-26FEB282115,2026-03-01T02:01:37.26621Z,2026-03-01T02:16:16.774426Z,yes,yes,5,74.0,3.7,5.0,0.0,1.3,yes
KXBTC15M-26FEB282115-15,KXBTC15M-26FEB282115,2026-03-01T02:00:30.852723Z,2026-03-01T02:16:16.783884Z,yes,yes,3,80.0,2.4,3.0,0.02,0.58,yes
KXETH15M-26FEB282130-30,KXETH15M-26FEB282130,2026-03-01T02:15:12.462019Z,2026-03-01T02:31:16.725024Z,no,yes,5,56.0,2.8,0.0,0.04,-2.84,no
KXBTC15M-26FEB282130-30,KXBTC15M-26FEB282130,2026-03-01T02:17:51.632297Z,2026-03-01T02:31:16.739506Z,no,no,5,65.0,3.25,5.0,0.08,1.67,yes
KXBTC15M-26MAR011145-45,KXBTC15M-26MAR011145,2026-03-01T16:35:16.259108Z,2026-03-01T16:46:16.732033Z,no,yes,5,58.0,2.9,0.0,0.09,-2.99,no
