id,timestamp_utc,settled_utc,market_ticker,side,contracts,entry_price_cents,exit_price_cents,gross_profit_usd,kalshi_fee_usd,net_profit_usd,tax_basis_usd,win_prob,outcome,strategy
64,2026-02-28 21:46:39,2026-02-28 22:01:26,KXBTC15M-26FEB281700-00,NO,7,48,,,,3.5,,0.5401,1,btc_lag
67,2026-02-28 22:46:18,2026-02-28 23:01:26,KXBTC15M-26FEB281800-00,YES,7,63,,,,-4.41,,0.6133,0,btc_drift_v1
70,2026-02-28 23:08:44,2026-02-28 23:16:27,KXBTC15M-26FEB281815-15,NO,15,33,,,,9.75,,0.51,1,btc_drift_v1
74,2026-02-28 23:32:27,2026-02-28 23:46:59,KXBTC15M-26FEB281845-45,NO,14,34,,,,8.96,,0.51,1,btc_drift_v1
75,2026-02-28 23:46:07,2026-03-01 00:02:07,KXBTC15M-26FEB281900-00,NO,19,26,,,,-4.94,,0.51,0,btc_drift_v1
78,2026-03-01 00:05:12,2026-03-01 00:17:14,KXBTC15M-26FEB281915-15,NO,14,35,,,,8.82,,0.51,1,btc_drift_v1
80,2026-03-01 00:19:15,2026-03-01 00:32:17,KXBTC15M-26FEB281930-30,NO,8,57,,,,3.28,,0.5727,1,btc_drift_v1
81,2026-03-01 00:34:20,2026-03-01 00:47:18,KXBTC15M-26FEB281945-45,YES,13,37,,,,-4.81,,0.51,0,btc_drift_v1
83,2026-03-01 00:47:25,2026-03-01 01:01:26,KXBTC15M-26FEB282000-00,NO,10,50,,,,-5.0,,0.5788,0,btc_drift_v1
85,2026-03-01 01:01:32,2026-03-01 01:16:40,KXBTC15M-26FEB282015-15,YES,23,21,,,,-4.83,,0.5431,0,btc_drift_v1
86,2026-03-01 01:38:12,2026-03-01 01:46:29,KXBTC15M-26FEB282045-45,NO,166,3,,,,-4.98,,0.5706,0,btc_drift_v1
88,2026-03-01 01:47:15,2026-03-01 02:02:01,KXBTC15M-26FEB282100-00,NO,17,28,,,,-4.76,,0.51,0,btc_drift_v1
90,2026-03-01 01:54:34,2026-03-01 02:02:01,KXETH15M-26FEB282100-00,NO,249,2,,,,-4.98,,0.51,0,eth_lag_v1
91,2026-03-01 02:00:30,2026-03-01 02:17:04,KXBTC15M-26FEB282115-15,YES,3,80,,,,0.57,,0.6772,1,btc_lag_v1
92,2026-03-01 02:01:36,2026-03-01 02:17:05,KXETH15M-26FEB282115-15,YES,5,74,,,,1.25,,0.7577,1,eth_lag_v1
96,2026-03-01 02:17:51,2026-03-01 02:33:01,KXBTC15M-26FEB282130-30,NO,5,65,,,,1.65,,0.6795,1,btc_drift_v1
94,2026-03-01 02:15:12,2026-03-01 02:33:01,KXETH15M-26FEB282130-30,YES,5,56,,,,-2.8,,0.51,0,eth_lag_v1
110,2026-03-01 16:35:16,2026-03-01 16:47:06,KXBTC15M-26MAR011145-45,YES,5,58,,,,-2.9,,0.5692,0,btc_drift_v1
113,2026-03-01 16:46:49,2026-03-01 17:01:54,KXBTC15M-26MAR011200-00,YES,21,21,,,,-4.41,,0.51,0,btc_drift_v1
118,2026-03-01 17:46:45,2026-03-01 18:01:31,KXBTC15M-26MAR011300-00,YES,9,44,,,,-3.96,,0.5783,0,btc_drift_v1
121,2026-03-01 18:19:54,2026-03-01 18:31:34,KXBTC15M-26MAR011330-30,NO,7,55,,,,-3.85,,0.6223,0,btc_drift_v1
